userid,timestamp,username,tweet
1563443978,2009-04-20T06:51:46.000+01:00,girlbruins,watching youtube videos of nk at hobi knew we should have left earlykicking myself in the butt right now
1563493238,2009-04-20T07:02:53.000+01:00,PnmaB,something will surface
1563501332,2009-04-20T07:04:44.000+01:00,Retro_Jack,oh geez its monday
1563649379,2009-04-20T07:40:08.000+01:00,ToniaToxic,i havta go pee but im scared to walk dwn the hall please check for that mouseim freaking out turn the light on me
1563676266,2009-04-20T07:46:55.000+01:00,SHUTUP,i failed to celebrate my th scrobble on lastfm
1563696689,2009-04-20T07:52:10.000+01:00,flufflebutt,oh man i couldnt do that major bell pepper allergy
1563768556,2009-04-20T08:10:55.000+01:00,_rachelx,cant believe we cant watch itt lolssss
1564014917,2009-04-20T09:20:22.000+01:00,sigridth,summer is not yet approaching here in the north of spain
1564086090,2009-04-20T09:42:03.000+01:00,shotguncheryl,damn i just cant seem to sleep tonight
1564123684,2009-04-20T09:53:45.000+01:00,Aerodynamix,you need a credit card to get iphone apps that could well influence my decision to get one
1564136533,2009-04-20T09:57:49.000+01:00,DforDog,hum i cant seem to message anyone
1564145907,2009-04-20T10:00:34.000+01:00,GilesPK4LIFE,is wondering what chris is doing today and when he does back to uni he is missing him
1564186193,2009-04-20T10:12:53.000+01:00,ogulmus,very thick
1564193176,2009-04-20T10:15:08.000+01:00,Gereau,some birken black or white for my girl size fixe me some bro
1564193572,2009-04-20T10:15:14.000+01:00,PunkyTHEsinger,why u stop followin me
1564193959,2009-04-20T10:15:21.000+01:00,frrfernando,traffics bad i guess some prayers are just impossible to answer
1564213128,2009-04-20T10:21:25.000+01:00,iangclark,just for a change saturday night i saw and am this time the eldest
1564214608,2009-04-20T10:21:54.000+01:00,JustJessieLynn,obviously that sleeping thing never worked out i hate being sick
1564317348,2009-04-20T10:53:45.000+01:00,holidaypad,you should be so lucky doesnt follow me
1564325121,2009-04-20T10:56:05.000+01:00,genkiu,unfortunately not
1564329307,2009-04-20T10:57:19.000+01:00,carlonicora,can i be disillusioned and sad for just few minutes i just had my hopes frustrated and i need some time to digest it
1564376100,2009-04-20T11:11:18.000+01:00,GretasTardis,i miss watching buffy with my hannah
1564378577,2009-04-20T11:12:03.000+01:00,pricivius,any tips on beating egg whites pls i have a very doughy cheescake in the fridge lol
1564425346,2009-04-20T11:25:56.000+01:00,rockinrenee64,me either mf that is my alarm clock
1564428981,2009-04-20T11:27:00.000+01:00,paulbeattie,ipod earbuds get so dirty
1564430563,2009-04-20T11:27:25.000+01:00,mxc4,i am too busy to eat and i am starving
1564483190,2009-04-20T11:42:20.000+01:00,gabimurray,hasnt twiitered for a while oooooo what to twitter about no news
1564500376,2009-04-20T11:47:11.000+01:00,cheloneill,when the weathers so fab why do we have to work
1564555545,2009-04-20T12:01:33.000+01:00,kpjackson,not happy that its raining what am i going to do with lena all day this sucks
1564725694,2009-04-20T12:42:03.000+01:00,colonel_locke,trying to find more info on a guy who was maimed at work friday
1564798650,2009-04-20T12:58:01.000+01:00,Sweetness910,on the metro i hate public transportation and its raining happy monday
1564927433,2009-04-20T13:23:13.000+01:00,brajana,doing alright got a cold i think and feeling sicker by the minute kinda regretting coming in to work
1565017793,2009-04-20T13:39:32.000+01:00,kunal_,office is stressful
1565194259,2009-04-20T14:08:59.000+01:00,MareksGregs,im at moms job right now so boredshe is working im using internet blah i wanna eat we gonna go home after min yayy
1565219173,2009-04-20T14:12:52.000+01:00,justjanet23,sorry your morning is so chaotic
1565283829,2009-04-20T14:22:46.000+01:00,KiKi804,tummy still hurts from days ago
1565329441,2009-04-20T14:29:37.000+01:00,heynatasha,i have the time differences everyone is at school
1565357073,2009-04-20T14:33:35.000+01:00,foxykaty,conjunctivitis is snot pahaha ive had it for like weeks on and off its well scabby
1565421960,2009-04-20T14:43:08.000+01:00,RichardElliott,still down i swear i did nothing
1565463639,2009-04-20T14:49:08.000+01:00,fixxatedstar,screw nursing
1565679200,2009-04-20T15:18:54.000+01:00,tyrstag,lately theres been a delay of up to an hour before they show up
1565760056,2009-04-20T15:29:40.000+01:00,jdburke2k,busy already fd wants to burn today day job stuff to do amp chores i wanted to work on lets strip down to fightin weight amp get it on
1565762847,2009-04-20T15:30:02.000+01:00,sarah26123,loves the sun but the sun doesnt love me
1565835359,2009-04-20T15:39:26.000+01:00,babbsie,argh would love to but am bogged down with notes what a lovely day today wish i could have a long stroll xxx
1572950192,2009-04-21T07:08:24.000+01:00,MrGreencastle,up late what to do
1572974529,2009-04-21T07:13:45.000+01:00,avyette,my new phone doesnt believe in apostrophes the fuck i need my dammit how else will i show possession multiples abbreviations
1573070320,2009-04-21T07:36:08.000+01:00,dedelizaliz,needs to upgrade my iphone
1573131401,2009-04-21T07:50:50.000+01:00,tinker_bell1205,at worksigh would rather be at home in my bed
1573208311,2009-04-21T08:09:27.000+01:00,ashleyemma,feeling alright considering my hour and a half of insomnia due to a stuffy bedroom was not happyi love my sleep
1573283762,2009-04-21T08:28:49.000+01:00,atextrack,coworker was right ill probably be up till am againoh why did i nap song of the day the sounds tony the beat
1573491373,2009-04-21T09:25:23.000+01:00,amichetti,cleaners just erased my whiteboard despite the quotlam on khong xoaquot sign that has been there for a week argh boo
1573622819,2009-04-21T10:03:04.000+01:00,frazzled02,oh happy days australiain now only in recsion i thought we were already there at christmas werent we
1573717501,2009-04-21T10:31:07.000+01:00,bathcsc,minute gap in service this morning due to the additional buses getting stuck coming in from other routes we are looking into this
1573782109,2009-04-21T10:50:02.000+01:00,Mawgan,they didnt play charley either was a bit dissapointed with that one of their best tunes
1573924982,2009-04-21T11:30:07.000+01:00,colbyjanine,that just means u can rest amp party even harder when finals over lol
1573942085,2009-04-21T11:34:41.000+01:00,PNI_kyle,im really starting to hate traveling east i need more sleep
1574105953,2009-04-21T12:16:10.000+01:00,K_o_L_182,blsckberry is stupid with stuopidly small keysbut i want one ict sucks
1675817560,2009-05-02T04:24:05.000+01:00,mariannex3_88,chillin with my sister really irritated by that someone whose in all my classes
1675824513,2009-05-02T04:25:03.000+01:00,drumerguy,ahhhh you lucky son of female dog i kept it clean i wish i was there
1676062319,2009-05-02T05:00:11.000+01:00,mydreamandi,wont be sleeping tonight till like am because thats how i do when i dont have my bed to sleep in
1676151138,2009-05-02T05:14:00.000+01:00,casnva,hey now no im not my feelings are hurt now me sad now me wanna beer lol
1676445972,2009-05-02T06:04:07.000+01:00,immissworld,i just realized that ive been on here updating day
1676482398,2009-05-02T06:10:39.000+01:00,Klaushouse,from my experience sleeping just makes me want to sleep more during the night
1676500317,2009-05-02T06:13:55.000+01:00,complexH,missing someone
1676539242,2009-05-02T06:21:08.000+01:00,merabon,supernatural was kick ass as always heading to bed now i have an early day tomorrow
1676554907,2009-05-02T06:24:09.000+01:00,PeanutGregory,noooooo stupid head argh ily
1676630462,2009-05-02T06:38:44.000+01:00,likethedisease,so i have come to the realization that ive entered my adult life amp stopped growing im gonna be quot for the rest of my life
1676658872,2009-05-02T06:44:32.000+01:00,TanyaShively,who knew interior design involved manual labor my backs been a wreck for a week now due to lugging heavy stuff for a presentation
1676683249,2009-05-02T06:49:39.000+01:00,belgort,just got done watching marley and me going to bed
1676885103,2009-05-02T07:34:32.000+01:00,viswajith,punjab lost ystrday i lost points
1676892532,2009-05-02T07:36:19.000+01:00,vivihayhurst,just really sad someone stole my phone yesterday and i really dont know how that happened just tiredbut cant sleep right now
1677015581,2009-05-02T08:06:10.000+01:00,eLLLyyyy,lol getting cold amp bored i wanna play netball again
1677052758,2009-05-02T08:15:21.000+01:00,TartyTart,dangit i try not to care but my technocrati score went down points in the past week how
1677087343,2009-05-02T08:24:17.000+01:00,jayjubjub,not feeling so well had to cancel tuition with noor felt bad sighs i need to buck things up literally
1677102112,2009-05-02T08:28:12.000+01:00,violetbakes,yes it was do it yourself could you just imagine what a mess
1677126017,2009-05-02T08:34:16.000+01:00,andyclemmensen,my weet bix went soggy while wrigting that twit curse you twitter curse you
1677217744,2009-05-02T08:59:38.000+01:00,violetbakes,oooh good for you im fine thanks baking for cricket but looking at the cloudy sky and worrying
1677261968,2009-05-02T09:11:34.000+01:00,taraw07,awe i forgot to wear my hooker wear oh well i can always dance on the stage lmao
1677335653,2009-05-02T09:33:10.000+01:00,khierah,oh my gosh saw that today and cried so much havent cried that much in a movie before
1677360530,2009-05-02T09:40:47.000+01:00,eleanorng,no wei she was admiring her face then her tummy then her nonexistent curves it was gross
1677362504,2009-05-02T09:41:25.000+01:00,pseudopseudo,is velvet assassin really this hard or do i just suck this badly at stealth games holy crap im making no progress
1677372000,2009-05-02T09:44:18.000+01:00,PeteWJ,sounds great wish i could go out there and take some photos but web sites wont write themselves unfortunately
1677401669,2009-05-02T09:53:29.000+01:00,ssial,very correct but like our foreign counterparts we dont have native experts to guide us
1677670983,2009-05-02T11:20:54.000+01:00,Doodlebug18,we are all running round doing things for my brothers party and he hasnt even bothered to come out of his room arse no revision time
1677759461,2009-05-02T11:50:06.000+01:00,hollieolesky,kids are having a bad morning i wish i could make their pain stop
1677783604,2009-05-02T11:58:25.000+01:00,lil_jamie_94,ah sitting alone no one likes to be with me no one wants to talk or hangout with me lt
1677837944,2009-05-02T12:15:24.000+01:00,Sansaa,i wish i could
1677972541,2009-05-02T12:55:56.000+01:00,Buffalo_Souljaa,lol at least ur working im haveing a hard time looking for work no one wants scaffolders casue no one is building anything
1677994513,2009-05-02T13:01:54.000+01:00,mikebandoni,mower fixed now for the decorating gonna miss this beautiful weather though
1678048163,2009-05-02T13:16:09.000+01:00,AngelJem94,just found out the boy i really like has a girlfriend he told me only days ago he loved me now he has a gf i feel so sad stupid boys
1678061654,2009-05-02T13:19:48.000+01:00,sarahfrantz,last drill second to last day in uniform
1678132272,2009-05-02T13:37:44.000+01:00,ducban,just gave a poor old woman some money feel sorry because its the best i can
1678192323,2009-05-02T13:51:48.000+01:00,sandysandy,could really go some kfc
1678215271,2009-05-02T13:56:57.000+01:00,kellysiew,feels like eating satays
1678243651,2009-05-02T14:02:51.000+01:00,BreakDancingAmy,rofl i lost da feelings in me lips but not me leg i can feel me leg
1678285828,2009-05-02T14:11:46.000+01:00,arielchew,wth no tonite
1678403812,2009-05-02T14:35:45.000+01:00,Kdudders,i dont think the link works
1678620756,2009-05-02T15:15:45.000+01:00,Stinkyfeet1995,is sad that my email not working
1678776512,2009-05-02T15:41:33.000+01:00,richardBarley,ah yes i think that would be ideal sadly i dont think my budget will stretch that far just yet
1678783906,2009-05-02T15:42:44.000+01:00,bownsy,feeling sorry for this morning big barn fire and hes at work
1678872102,2009-05-02T15:56:59.000+01:00,mrsmgoodwin,my heart is breakingtaking alli to the shelter
1679030999,2009-05-02T16:21:47.000+01:00,jackiiewaynee,being up early on a saturday morning sucks i never get to sleep in
1679064544,2009-05-02T16:26:53.000+01:00,SherylBreuker,funny i thought with a vista os id have more issues i dont think ive ever had blue screen but firefox doesnt like me
1679073769,2009-05-02T16:28:16.000+01:00,Juniesgurl,lilacs are so beautiful i dont have those in my yard i only have weeds lol
1679384778,2009-05-02T17:13:35.000+01:00,sbeckwral,we can mint juliep some other time
1679767375,2009-05-02T18:07:54.000+01:00,alexattwittur,but it does work now on right
1679800681,2009-05-02T18:12:35.000+01:00,traaai,last day in markham last day at home im sad but im ready to take school to school
1679840207,2009-05-02T18:18:05.000+01:00,Maudelynn,swine flu zombies that really does scare me zombies
1679911935,2009-05-02T18:28:09.000+01:00,alexthewheel,we really havent dude merr well i shal makeup for it nowwww
1680050663,2009-05-02T18:47:17.000+01:00,SkoobCEO,thats good its rainin so my plans of beaches and sht are dead now
1680872679,2009-05-02T20:41:39.000+01:00,Fannnnny,back from paris dont want to go at school on monday
1680949428,2009-05-02T20:52:08.000+01:00,MzRocSunshine,i sure wish i was there
1681064794,2009-05-02T21:08:01.000+01:00,ethans_mommy09,aw im sorry u guys r sick
1684762937,2009-05-03T05:58:38.000+01:00,sohil_h,realized now that im up i might have to work
1684925387,2009-05-03T06:28:39.000+01:00,thalyracist,i miss laying on his fat belly while he runs his fingers thru my hair
1553139055,2009-04-18T21:28:35.000+01:00,DNACowboy,i just got here siren you cant go
1557831295,2009-04-19T14:11:52.000+01:00,iluvdesi,out damn jayawardene you suck big time u dont know how to play cricket u got yuvraj out
1558467506,2009-04-19T16:28:02.000+01:00,littlekymm,is upset that she cant find a pair of sexy cutout sandal boots anywhere
1558555796,2009-04-19T16:44:00.000+01:00,ChazBrown1,looking forward to cardif on tuesday for my first wwe event trying to get info on who may be appearing but no luck so far
1573357453,2009-04-21T08:48:14.000+01:00,thatswatyouget,drepressed
1676220592,2009-05-02T05:25:19.000+01:00,Miss_Brummell,omfg frequency sucks ass i miss zero gravity
